arquipelago, conjunto de ilhas
embarcacao, veiculo que navega na agua
enigma, misterio ou charada
crocodilo, reptil de agua doce e salgada
nebulosa, nuvem de gas e poeira no espaco
hipopotamo, grande mamifero de agua doce
labirinto, estrutura com caminhos confusos
miragem, ilusao visual em desertos
espaguete, tipo de massa italiana
esmeralda, pedra preciosa verde
teleferico, transporte suspenso por cabos
autentico, algo genuino, verdadeiro
hipnose, estado alterado de consciencia
trilogia, serie de tres obras
planicie, grande area de terra plana
microscopio, instrumento para ver objetos pequenos
perseveranca, capacidade de continuar apesar das dificuldades
